table,field,definition,data_type,unit,nullable,null_meaning,origin,source_field_or_derivation,valid_values,interpretation_warning
capital_budget_book_comparison.csv,master_project_id,Stable provisional identifier for a real-world master-project entity.,text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and scripts/ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
capital_budget_book_comparison.csv,comparison_status,Relationship between a Budget Book record and the core capital-project snapshot.,categorical text,,no,Never blank.,derived,Exact project-identifier reconciliation.,matched_core_activity; budget_book_only; core_capital_only; ambiguous_multiple_core_activities,"This comparison concerns source records, not unique real-world projects."
capital_budget_book_comparison.csv,match_method,Rule used to connect records or spatial entities.,categorical text,,no,Never blank where a link exists.,derived,Table-specific exact identifier or building-footprint folio rule.,Table-defined.,A heuristic link is not a legal parcel or project determination.
capital_budget_book_comparison.csv,budget_book_status,Status reported by the Budget Book context source.,text,,yes,Blank means unavailable or no Budget Book record.,source,status.,Source-defined.,Status is an administrative label and does not prove physical completion.
capital_budget_book_comparison.csv,core_status,Status in the matched core activity snapshot.,text,,yes,Blank means no matched core activity.,source/derived,tampa_development_activity.status after exact identifier matching.,Source-defined.,The core activity can consolidate more than one source feature.
capital_budget_book_comparison.csv,budget_book_project_name,Project name reported by the Budget Book source.,text,,yes,Blank means unavailable.,source,projname.,Source-defined.,Names are descriptive and are not used as the primary match key.
capital_budget_book_comparison.csv,core_project_name,Project name in the matched core activity.,text,,yes,Blank means no matched activity.,source/derived,tampa_development_activity.project_name.,Source-defined.,Name differences are diagnostic and are not automatic contradictions.
capital_budget_book_comparison.csv,observed_at_utc,UTC time at which this source state was retrieved.,timestamp,UTC,no,Never blank.,source acquisition,Context snapshot completion time.,ISO 8601 UTC timestamp.,Observation time is not necessarily the underlying event time.
capital_budget_book_projects.csv,context_record_id,Stable identifier for one Budget Book context row.,text,,no,Never blank.,derived,SHA-1 of the Budget Book project identifier and source object identifier.,bbp- prefixed identifier.,"Identifies a context-source row, not a core census feature."
capital_budget_book_projects.csv,city_project_id,Project identifier reported by a City capital source.,text,,no,Never blank for capital context rows.,source,Budget Book projid or core capital source_record_id.,Source-defined identifier.,Formatting and identifier systems can vary across City capital services.
capital_budget_book_projects.csv,activity_id,Stable identifier for one normalized activity record; not a guaranteed master-project identifier.,text,,no,Never blank.,derived identifier,SHA-1-derived token from source family and native ID; invalid native IDs are isolated by source object.,tpa-*,Several activities may belong to one real development.
capital_budget_book_projects.csv,master_project_id,Stable provisional identifier for a real-world master-project entity.,text,,yes,Blank means unavailable or not yet reviewed; unknown is represented explicitly where required.,derived/source evidence,See GROUND_TRUTH_METHODOLOGY.md and scripts/ground_truth.py.,Protocol- or source-defined.,Do not interpret absence or unknown as no; this field is not proof beyond its cited evidence.
capital_budget_book_projects.csv,project_name,Project or application name as reported by the source.,text,,yes,Blank means unavailable.,source,Source-specific project-name field.,Source-defined.,Names are not standardized across layers.
capital_budget_book_projects.csv,description,Free-text project description reported by the source.,text,,yes,Blank means unavailable.,source,Source-specific description field.,Source-defined.,May be incomplete or use administrative language.
capital_budget_book_projects.csv,rationale,Project rationale reported by the Budget Book source.,text,,yes,Blank means unavailable.,source,rationale.,Source-defined text.,A stated rationale is not an independently evaluated outcome.
capital_budget_book_projects.csv,project_type,Capital-project type reported by the Budget Book source.,text,,yes,Blank means unavailable.,source,projtype.,Source-defined category.,Categories can differ from other City services and years.
capital_budget_book_projects.csv,fiscal_year,Fiscal year reported by the source.,text,,yes,Blank means unavailable.,source,fiscalyr.,Source-defined year or label.,Do not infer an exact event date from a fiscal-year label.
capital_budget_book_projects.csv,budget_year,Budget Book year reported by the source.,integer,year,yes,Blank means unavailable.,source,BudgetYear.,Four-digit year.,This is not necessarily the year money was spent.
capital_budget_book_projects.csv,funding_source,Capital-project funding description reported by the source.,text,,yes,Blank means unavailable or not applicable.,source,fundsource.,Source-defined.,Categories are not standardized.
capital_budget_book_projects.csv,funded_status,Whether the Budget Book source labels the project as funded.,text,,yes,Blank means unavailable.,source,funded.,"Source-defined, commonly Yes or No.",Funded status is not an expenditure or completion measure.
capital_budget_book_projects.csv,planned_start_date,Planned capital-project start date reported by the source.,date,,yes,Blank means unavailable or not applicable.,source/cleaned,planstart.,ISO 8601 date.,Planned dates may change and do not show actual starts.
capital_budget_book_projects.csv,planned_end_date,Planned capital-project end date reported by the source.,date,,yes,Blank means unavailable or not applicable.,source/cleaned,planend.,ISO 8601 date.,Planned dates may change and do not show completion.
capital_budget_book_projects.csv,actual_start_date,Actual project start date reported by the Budget Book source.,date,,yes,Blank means unavailable.,source,actstart.,ISO 8601 date.,Reported actual start is not independently verified.
capital_budget_book_projects.csv,actual_end_date,Actual project end date reported by the Budget Book source.,date,,yes,Blank means unavailable.,source,actend.,ISO 8601 date.,Reported actual end is not treated as proof of final inspection or occupancy.
capital_budget_book_projects.csv,project_phase,Capital-project phase reported by the source.,text,,yes,Blank means unavailable.,source,projphase.,Source-defined.,"Closeout is an administrative phase, not necessarily physical completion."
capital_budget_book_projects.csv,status,Status text reported by the source at retrieval.,text,,yes,Blank means unavailable.,source,Source-specific status field.,Source-defined.,Status semantics differ across sources.
capital_budget_book_projects.csv,estimated_cost_usd,Estimated project cost reported for City capital projects.,decimal,nominal USD,yes,"Blank means unavailable, not zero.",source,estcost.,Non-negative amount.,Not available for most private permits and not comparable to realized expenditure.
